ratio,random_state,accuracy
0.4,0,0.64
0.4,1,0.56
0.4,2,0.41714285714285715
0.5,0,0.4342857142857143
0.5,1,0.7028571428571428
0.5,2,0.49714285714285716
0.6,0,0.6685714285714286
0.6,1,0.6914285714285714
0.6,2,0.5885714285714285
0.7,0,0.7314285714285714
0.7,1,0.68
0.7,2,0.6057142857142858
0.8,0,0.42857142857142855
0.8,1,0.5314285714285715
0.8,2,0.7085714285714285
0.9,0,0.5085714285714286
0.9,1,0.5371428571428571
0.9,2,0.6914285714285714
1,0,0.52
1,2,0.5942857142857143
0.4,3,0.44571428571428573
0.4,4,0.4228571428571429
0.4,5,0.5885714285714285
0.4,6,0.5942857142857143
0.4,7,0.5314285714285715
0.4,8,0.6742857142857143
0.4,9,0.6
0.5,3,0.5314285714285715
0.5,4,0.56
0.5,5,0.6228571428571429
0.5,6,0.4742857142857143
0.5,7,0.6285714285714286
0.5,8,0.7085714285714285
0.5,9,0.64
0.6,3,0.6628571428571428
0.6,4,0.6057142857142858
0.6,5,0.49714285714285716
0.6,6,0.5428571428571428
0.6,7,0.7085714285714285
0.6,8,0.5771428571428572
0.6,9,0.5371428571428571
0.7,3,0.6171428571428571
0.7,4,0.6628571428571428
0.7,5,0.6171428571428571
0.7,6,0.68
0.7,7,0.6
0.7,8,0.6914285714285714
0.7,9,0.6742857142857143
0.8,3,0.64
0.8,4,0.6171428571428571
0.8,5,0.5771428571428572
0.8,6,0.6228571428571429
0.8,7,0.6114285714285714
0.8,8,0.6171428571428571
0.8,9,0.6571428571428571
0.9,3,0.6457142857142857
0.9,4,0.6114285714285714
0.9,5,0.6057142857142858
0.9,6,0.6971428571428572
0.9,7,0.7028571428571428
0.9,8,0.6457142857142857
0.9,9,0.6114285714285714
1,4,0.6457142857142857
1,6,0.49714285714285716
1,8,0.5371428571428571
