ratio,random_state,accuracy
0.4,0,0.6333333333333333
0.4,1,0.82
0.4,2,0.62
0.5,0,0.7933333333333333
0.5,1,0.96
0.5,2,0.8133333333333334
0.6,0,0.7866666666666666
0.6,1,1.0
0.6,2,0.96
0.7,0,0.96
0.7,1,0.9733333333333334
0.7,2,1.0
0.8,0,1.0
0.8,1,0.9933333333333333
0.8,2,1.0
0.9,0,0.9933333333333333
0.9,1,0.9933333333333333
0.9,2,0.9533333333333334
1,0,1.0
1,2,0.9933333333333333
0.4,3,0.6
0.4,4,0.5866666666666667
0.4,5,0.6733333333333333
0.4,6,0.58
0.4,7,0.8333333333333334
0.4,8,0.8266666666666667
0.4,9,0.6333333333333333
0.5,3,0.6866666666666666
0.5,4,0.7533333333333333
0.5,5,0.92
0.5,6,0.88
0.5,7,0.8466666666666667
0.5,8,0.6333333333333333
0.5,9,0.7533333333333333
0.6,3,0.9933333333333333
0.6,4,0.9466666666666667
0.6,5,0.94
0.6,6,0.9933333333333333
0.6,7,0.9933333333333333
0.6,8,0.98
0.6,9,0.9
0.7,3,0.8733333333333333
0.7,4,0.9866666666666667
0.7,5,0.98
0.7,6,0.8933333333333333
0.7,7,0.9666666666666667
0.7,8,0.9933333333333333
0.7,9,0.86
0.8,3,0.86
0.8,4,0.9933333333333333
0.8,5,0.9333333333333333
0.8,6,0.9866666666666667
0.8,7,0.9866666666666667
0.8,8,0.7933333333333333
0.8,9,0.9733333333333334
0.9,3,0.9866666666666667
0.9,4,0.9933333333333333
0.9,5,0.9866666666666667
0.9,6,0.9933333333333333
0.9,7,0.98
0.9,8,0.9866666666666667
0.9,9,0.9933333333333333
1,4,0.9933333333333333
1,6,0.9933333333333333
1,8,0.9933333333333333
