ratio,random_state,accuracy
0.4,0,0.9322222222222222
0.4,1,0.8677777777777778
0.4,2,0.9166666666666666
0.5,0,0.9277777777777778
0.5,1,0.9055555555555556
0.5,2,0.9444444444444444
0.6,0,0.9522222222222222
0.6,1,0.9888888888888889
0.6,2,0.9466666666666667
0.7,0,0.9577777777777777
0.7,1,0.8788888888888889
0.7,2,0.9155555555555556
0.8,0,0.99
0.8,1,0.9822222222222222
0.8,2,0.9755555555555555
0.9,0,0.9744444444444444
0.9,1,0.9922222222222222
0.9,2,0.9955555555555555
1,0,1.0
1,2,0.9966666666666667
0.4,3,0.9122222222222223
0.4,4,0.9533333333333334
0.4,5,0.7477777777777778
0.4,6,0.9755555555555555
0.4,7,0.8933333333333333
0.4,8,0.9166666666666666
0.4,9,0.8244444444444444
0.5,3,0.9377777777777778
0.5,4,0.96
0.5,5,0.9344444444444444
0.5,6,0.9
0.5,7,0.8744444444444445
0.5,8,0.9844444444444445
0.5,9,0.9477777777777778
0.6,3,0.9322222222222222
0.6,4,0.9588888888888889
0.6,5,0.9366666666666666
0.6,6,0.9277777777777778
0.6,7,0.97
0.6,8,0.9244444444444444
0.6,9,0.9777777777777777
0.7,3,0.9166666666666666
0.7,4,0.95
0.7,5,0.9466666666666667
0.7,6,0.9888888888888889
0.7,7,0.9177777777777778
0.7,8,0.9411111111111111
0.7,9,0.9211111111111111
0.8,3,0.9944444444444445
0.8,4,0.9588888888888889
0.8,5,0.97
0.8,6,0.9911111111111112
0.8,7,0.9711111111111111
0.8,8,0.9211111111111111
0.8,9,0.9644444444444444
0.9,3,0.9688888888888889
0.9,4,0.9677777777777777
0.9,5,0.9955555555555555
0.9,6,0.99
0.9,7,0.9877777777777778
0.9,8,0.9955555555555555
0.9,9,0.9877777777777778
1,4,0.9922222222222222
1,6,0.9944444444444445
1,8,0.9933333333333333
