ratio,random_state,accuracy
0.1,0,0.59
0.1,1,0.72
0.1,2,0.74
0.2,0,0.77
0.2,1,0.75
0.2,2,0.77
0.3,0,0.77
0.3,1,0.77
0.3,2,0.92
0.4,0,0.82
0.4,1,0.87
0.4,2,0.81
0.5,0,0.86
0.5,1,0.81
0.5,2,0.88
0.6,0,0.84
0.6,1,0.83
0.6,2,0.82
0.7,0,0.9
0.7,1,0.83
0.7,2,0.88
0.8,0,0.89
0.8,1,0.88
0.8,2,0.88
0.9,0,0.88
0.9,1,0.87
0.9,2,0.87
1,0,0.85
1,2,0.87
0.1,3,0.74
0.1,4,0.76
0.1,5,0.68
0.1,6,0.69
0.1,7,0.78
0.1,8,0.79
0.1,9,0.67
0.2,3,0.75
0.2,4,0.82
0.2,5,0.74
0.2,6,0.74
0.2,7,0.8
0.2,8,0.8
0.2,9,0.75
0.3,3,0.81
0.3,4,0.73
0.3,5,0.87
0.3,6,0.84
0.3,7,0.8
0.3,8,0.78
0.3,9,0.83
0.4,3,0.88
0.4,4,0.83
0.4,5,0.81
0.4,6,0.8
0.4,7,0.82
0.4,8,0.81
0.4,9,0.85
0.5,3,0.82
0.5,4,0.87
0.5,5,0.8
0.5,6,0.87
0.5,7,0.88
0.5,8,0.85
0.5,9,0.87
0.6,3,0.87
0.6,4,0.88
0.6,5,0.79
0.6,6,0.8
0.6,7,0.78
0.6,8,0.8
0.6,9,0.89
0.7,3,0.87
0.7,4,0.81
0.7,5,0.88
0.7,6,0.87
0.7,7,0.85
0.7,8,0.85
0.7,9,0.82
0.8,3,0.82
0.8,4,0.9
0.8,5,0.86
0.8,6,0.88
0.8,7,0.86
0.8,8,0.9
0.8,9,0.88
0.9,3,0.85
0.9,4,0.88
0.9,5,0.83
0.9,6,0.88
0.9,7,0.89
0.9,8,0.87
0.9,9,0.93
1,4,0.87
1,6,0.89
1,8,0.87
