ratio,random_state,accuracy
0.4,0,0.9907084785133565
0.4,1,0.5830429732868757
0.4,2,0.875725900116144
0.5,0,0.9059233449477352
0.5,1,0.8571428571428571
0.5,2,0.8966318234610917
0.6,0,0.8873403019744484
0.6,1,0.9303135888501742
0.6,2,1.0
0.7,0,1.0
0.7,1,0.9279907084785134
0.7,2,0.9279907084785134
0.8,0,1.0
0.8,1,1.0
0.8,2,0.9988385598141696
0.9,0,0.9965156794425087
0.9,1,1.0
0.9,2,0.9941927990708479
1,0,1.0
1,2,1.0
0.4,3,0.5505226480836237
0.4,4,0.7642276422764228
0.4,5,0.9001161440185831
0.4,6,0.6550522648083623
0.4,7,0.7084785133565621
0.4,8,0.9337979094076655
0.4,9,0.9001161440185831
0.5,3,0.6759581881533101
0.5,4,0.9163763066202091
0.5,5,0.9407665505226481
0.5,6,0.9895470383275261
0.5,7,0.7514518002322881
0.5,8,0.8931475029036005
0.5,9,0.9500580720092915
0.6,3,0.8861788617886179
0.6,4,0.883855981416957
0.6,5,0.908246225319396
0.6,6,1.0
0.6,7,0.8222996515679443
0.6,8,0.8815331010452961
0.6,9,0.9616724738675958
0.7,3,0.9802555168408827
0.7,4,0.8048780487804879
0.7,5,0.9988385598141696
0.7,6,1.0
0.7,7,0.9976771196283392
0.7,8,0.9988385598141696
0.7,9,1.0
0.8,3,0.9930313588850174
0.8,4,0.9965156794425087
0.8,5,0.9988385598141696
0.8,6,0.9965156794425087
0.8,7,0.9825783972125436
0.8,8,1.0
0.8,9,0.9744483159117305
0.9,3,1.0
0.9,4,1.0
0.9,5,1.0
0.9,6,1.0
0.9,7,0.9965156794425087
0.9,8,1.0
0.9,9,0.9988385598141696
1,4,1.0
1,6,1.0
1,8,1.0
