ratio,random_state,accuracy
0.2,0,0.6066666666666667
0.2,1,0.8733333333333333
0.2,2,0.74
0.3,0,0.9733333333333334
0.3,1,0.9066666666666666
0.3,2,0.9333333333333333
0.4,0,0.96
0.4,1,0.8866666666666667
0.4,2,0.9933333333333333
0.5,0,0.8933333333333333
0.5,1,0.9933333333333333
0.5,2,0.9933333333333333
0.6,0,0.9733333333333334
0.6,1,0.8866666666666667
0.6,2,0.9733333333333334
0.7,0,0.9666666666666667
0.7,1,0.9533333333333334
0.7,2,0.9466666666666667
0.8,0,0.9666666666666667
0.8,1,0.9666666666666667
0.8,2,0.9533333333333334
0.9,0,0.98
0.9,1,0.9533333333333334
0.9,2,0.9666666666666667
1,0,0.9666666666666667
1,2,0.98
0.2,3,0.9666666666666667
0.2,4,0.54
0.2,5,0.82
0.2,6,0.72
0.2,7,0.7533333333333333
0.2,8,0.8133333333333334
0.2,9,0.72
0.3,3,0.72
0.3,4,0.82
0.3,5,0.82
0.3,6,0.8466666666666667
0.3,7,0.7866666666666666
0.3,8,0.7066666666666667
0.3,9,0.9066666666666666
0.4,3,0.9266666666666666
0.4,4,0.9266666666666666
0.4,5,0.9466666666666667
0.4,6,0.92
0.4,7,0.8466666666666667
0.4,8,0.9333333333333333
0.4,9,0.9066666666666666
0.5,3,0.7933333333333333
0.5,4,0.92
0.5,5,0.98
0.5,6,0.9666666666666667
0.5,7,0.9066666666666666
0.5,8,0.96
0.5,9,0.96
0.6,3,0.92
0.6,4,0.98
0.6,5,0.9066666666666666
0.6,6,0.9733333333333334
0.6,7,0.9733333333333334
0.6,8,0.98
0.6,9,0.9733333333333334
0.7,3,0.98
0.7,4,0.96
0.7,5,0.9333333333333333
0.7,6,0.9733333333333334
0.7,7,0.98
0.7,8,0.98
0.7,9,0.9466666666666667
0.8,3,0.96
0.8,4,0.9733333333333334
0.8,5,0.98
0.8,6,0.9933333333333333
0.8,7,0.9933333333333333
0.8,8,0.9533333333333334
0.8,9,0.9866666666666667
0.9,3,0.9733333333333334
0.9,4,0.9933333333333333
0.9,5,0.9733333333333334
0.9,6,0.9866666666666667
0.9,7,0.98
0.9,8,0.94
0.9,9,0.9533333333333334
1,4,0.9533333333333334
1,6,0.9733333333333334
1,8,0.98
