ratio,random_state,accuracy
0.2,0,0.8726919339164237
0.2,1,0.902818270165209
0.2,2,0.8794946550048591
0.3,0,0.9173955296404276
0.3,1,0.9319727891156463
0.3,2,0.9378036929057337
0.4,0,0.9514091350826045
0.4,1,0.9125364431486881
0.4,2,0.9611273080660836
0.5,0,0.9552964042759962
0.5,1,0.9572400388726919
0.5,2,0.9640427599611273
0.6,0,0.9475218658892128
0.6,1,0.9494655004859086
0.6,2,0.9659863945578231
0.7,0,0.9475218658892128
0.7,1,0.9533527696793003
0.7,2,0.9552964042759962
0.8,0,0.9504373177842566
0.8,1,0.9689018464528668
0.8,2,0.9533527696793003
0.9,0,0.966958211856171
0.9,1,0.9689018464528668
0.9,2,0.9620991253644315
1,0,0.9407191448007775
1,2,0.9611273080660836
0.2,3,0.8765792031098154
0.2,4,0.9611273080660836
0.2,5,0.7764820213799806
0.2,6,0.8979591836734694
0.2,7,0.8678328474246841
0.2,8,0.8542274052478134
0.2,9,0.8862973760932945
0.3,3,0.8746355685131195
0.3,4,0.9465500485908649
0.3,5,0.8960155490767736
0.3,6,0.9329446064139941
0.3,7,0.9436345966958212
0.3,8,0.8901846452866861
0.3,9,0.9115646258503401
0.4,3,0.8717201166180758
0.4,4,0.9484936831875608
0.4,5,0.8756073858114675
0.4,6,0.9601554907677357
0.4,7,0.9591836734693877
0.4,8,0.8425655976676385
0.4,9,0.9416909620991254
0.5,3,0.9582118561710399
0.5,4,0.9057337220602527
0.5,5,0.9446064139941691
0.5,6,0.9591836734693877
0.5,7,0.9300291545189504
0.5,8,0.9591836734693877
0.5,9,0.9329446064139941
0.6,3,0.9591836734693877
0.6,4,0.9689018464528668
0.6,5,0.9572400388726919
0.6,6,0.9426627793974732
0.6,7,0.9640427599611273
0.6,8,0.9378036929057337
0.6,9,0.9689018464528668
0.7,3,0.9416909620991254
0.7,4,0.9611273080660836
0.7,5,0.966958211856171
0.7,6,0.924198250728863
0.7,7,0.9543245869776482
0.7,8,0.9698736637512148
0.7,9,0.9640427599611273
0.8,3,0.9494655004859086
0.8,4,0.9601554907677357
0.8,5,0.9698736637512148
0.8,6,0.9630709426627794
0.8,7,0.9640427599611273
0.8,8,0.956268221574344
0.8,9,0.9582118561710399
0.9,3,0.9504373177842566
0.9,4,0.9689018464528668
0.9,5,0.9659863945578231
0.9,6,0.9689018464528668
0.9,7,0.9533527696793003
0.9,8,0.9630709426627794
0.9,9,0.9620991253644315
1,4,0.956268221574344
1,6,0.9591836734693877
1,8,0.9523809523809523
