ratio,random_state,accuracy
0.4,0,0.8682108626198083
0.4,1,0.8123003194888179
0.4,2,0.6421725239616614
0.5,0,0.865814696485623
0.5,1,0.7931309904153354
0.5,2,0.7364217252396166
0.6,0,0.7715654952076677
0.6,1,0.8298722044728435
0.6,2,0.8514376996805112
0.7,0,0.8043130990415336
0.7,1,0.8594249201277955
0.7,2,0.847444089456869
0.8,0,0.8442492012779552
0.8,1,0.8722044728434505
0.8,2,0.8083067092651757
0.9,0,0.8458466453674122
0.9,1,0.8570287539936102
0.9,2,0.8123003194888179
1,0,0.8769968051118211
1,2,0.8634185303514377
