ratio,random_state,accuracy
0.1,0,0.6666666666666666
0.1,1,0.8133333333333334
0.1,2,0.74
0.2,0,0.7666666666666667
0.2,1,0.88
0.2,2,0.82
0.3,0,0.8666666666666667
0.3,1,0.9133333333333333
0.3,2,0.92
0.4,0,0.9466666666666667
0.4,1,0.86
0.4,2,0.8333333333333334
0.5,0,0.9066666666666666
0.5,1,0.9133333333333333
0.5,2,0.9266666666666666
0.6,0,0.9066666666666666
0.6,1,0.94
0.6,2,0.9333333333333333
0.7,0,0.96
0.7,1,0.9533333333333334
0.7,2,0.9133333333333333
0.8,0,0.96
0.8,1,0.94
0.8,2,0.94
0.9,0,0.9533333333333334
0.9,1,0.96
0.9,2,0.9666666666666667
1,0,0.9666666666666667
1,2,0.96
