ratio,random_state,accuracy
0.4,0,0.781387181738367
0.4,1,0.848990342405619
0.4,2,0.7690956979806848
0.5,0,0.8604038630377524
0.5,1,0.9833187006145742
0.5,2,0.5864793678665496
0.6,0,0.6611062335381914
0.6,1,0.9350307287093942
0.6,2,0.7111501316944688
0.7,0,0.9508340649692713
0.7,1,0.9631255487269534
0.7,2,0.9666374012291484
0.8,0,0.9815627743634767
0.8,1,0.9982440737489026
0.8,2,0.8928884986830553
0.9,0,0.9956101843722563
0.9,1,0.9920983318700615
0.9,2,0.9859525899912204
1,0,0.9973661106233538
1,2,0.9964881474978051
0.4,3,0.8384547848990342
0.4,4,0.7647058823529411
0.4,5,0.6575943810359964
0.4,6,0.7111501316944688
0.4,7,0.7559262510974539
0.4,8,0.6760316066725197
0.4,9,0.9051799824407375
0.5,3,0.7594381035996488
0.5,4,0.8086040386303776
0.5,5,0.9631255487269534
0.5,6,0.9543459174714662
0.5,7,0.961369622475856
0.5,8,0.9798068481123793
0.5,9,0.932396839332748
0.6,3,0.8191395961369623
0.6,4,0.9701492537313433
0.6,5,0.8068481123792801
0.6,6,0.8428446005267779
0.6,7,0.8849868305531168
0.6,8,0.9631255487269534
0.6,9,0.9420544337137841
0.7,3,0.9657594381035997
0.7,4,0.9771729587357331
0.7,5,0.9192273924495171
0.7,6,0.9446883230904302
0.7,7,0.9525899912203687
0.7,8,0.9596136962247586
0.7,9,0.9806848112379281
0.8,3,0.9973661106233538
0.8,4,0.9929762949956101
0.8,5,0.9964881474978051
0.8,6,0.9912203687445127
0.8,7,0.9762949956101844
0.8,8,0.9850746268656716
0.8,9,0.990342405618964
0.9,3,0.9841966637401229
0.9,4,0.9912203687445127
0.9,5,0.9947322212467077
0.9,6,0.9947322212467077
0.9,7,0.9947322212467077
0.9,8,0.9956101843722563
0.9,9,0.9885864793678666
1,4,0.9841966637401229
1,6,0.9912203687445127
1,8,0.9929762949956101
