ratio,random_state,accuracy
0.4,0,0.6944444444444444
0.4,1,0.7777777777777778
0.4,2,0.7361111111111112
0.5,0,0.9236111111111112
0.5,1,0.9166666666666666
0.5,2,0.8333333333333334
0.6,0,0.9375
0.6,1,0.7777777777777778
0.6,2,0.9375
0.7,0,0.9444444444444444
0.7,1,0.8958333333333334
0.7,2,0.9861111111111112
0.8,0,0.9930555555555556
0.8,1,0.9513888888888888
0.8,2,0.9583333333333334
0.9,0,0.9930555555555556
0.9,1,0.9861111111111112
0.9,2,0.9861111111111112
1,0,0.9791666666666666
1,2,0.9930555555555556
0.4,3,0.7152777777777778
0.4,4,0.6666666666666666
0.4,5,0.7430555555555556
0.4,6,0.8263888888888888
0.4,7,0.6388888888888888
0.4,8,0.8819444444444444
0.4,9,0.7847222222222222
0.5,3,0.8472222222222222
0.5,4,0.8680555555555556
0.5,5,0.8888888888888888
0.5,6,0.75
0.5,7,0.8680555555555556
0.5,8,0.8472222222222222
0.5,9,0.8125
0.6,3,0.8958333333333334
0.6,4,0.9791666666666666
0.6,5,0.9513888888888888
0.6,6,0.7916666666666666
0.6,7,0.9722222222222222
0.6,8,0.7777777777777778
0.6,9,0.9236111111111112
0.7,3,0.9930555555555556
0.7,4,0.9513888888888888
0.7,5,0.9375
0.7,6,0.9027777777777778
0.7,7,0.9027777777777778
0.7,8,0.9861111111111112
0.7,9,0.9513888888888888
0.8,3,0.9861111111111112
0.8,4,0.9791666666666666
0.8,5,0.9861111111111112
0.8,6,0.9861111111111112
0.8,7,0.9722222222222222
0.8,8,0.8958333333333334
0.8,9,1.0
0.9,3,0.9930555555555556
0.9,4,1.0
0.9,5,0.9305555555555556
0.9,6,0.9930555555555556
0.9,7,0.9861111111111112
0.9,8,0.9861111111111112
0.9,9,1.0
1,4,0.9930555555555556
1,6,0.9930555555555556
1,8,0.9930555555555556
