ratio,random_state,accuracy
0.2,0,0.6666666666666666
0.2,1,0.5925925925925926
0.2,2,0.5925925925925926
0.3,0,0.7222222222222222
0.3,1,0.4074074074074074
0.3,2,0.6296296296296297
0.4,0,0.7407407407407407
0.4,1,0.5740740740740741
0.4,2,0.6296296296296297
0.5,0,0.6111111111111112
0.5,1,0.46296296296296297
0.5,2,0.6851851851851852
0.6,0,0.7962962962962963
0.6,1,0.9444444444444444
0.6,2,0.8148148148148148
0.7,0,0.8518518518518519
0.7,1,0.5185185185185185
0.7,2,0.7222222222222222
0.8,0,0.7222222222222222
0.8,1,0.6481481481481481
0.8,2,0.6111111111111112
0.9,0,0.9259259259259259
0.9,1,0.8518518518518519
0.9,2,0.7222222222222222
1,0,0.7222222222222222
1,2,0.7407407407407407
